시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201703,18,120000,0,7,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,167.79,201703,24,5000,300,16,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201704,18,105000,0,14,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201704,27,102000,0,10,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,167.79,201707,5,10000,400,12,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,168.65,201709,8,30000,300,14,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201710,17,115000,0,3,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201711,15,100000,0,21,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201712,10,113000,0,4,2005,남부순환로 2763
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201702,6,22000,0,10,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,41.65,201706,6,20000,0,7,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,36.89,201707,24,15500,0,10,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,42.53,201707,27,19000,0,6,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201708,16,15000,0,4,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,26.87,201709,26,13500,0,13,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,42.72,201710,14,17000,0,12,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,39.16,201710,25,15500,0,6,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,35.2,201710,28,7500,30,12,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,67.08,201711,24,6000,0,8,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,26.87,201711,30,13000,0,15,1998,언주로 118
